cluster	cluster_size	go_term	k_in_cluster	K_in_atlas	cluster_freq	bg_freq	enrichment_ratio	log10_p
1	521	negative regulation of immature T cell proliferation in thymus	42	56	0.0806	0.0016	50.55	64.85
1	521	negative regulation of protein catabolic process	2	23	0.0038	0.0007	5.86	1.34
1	521	cerebellar granule cell precursor proliferation	53	124	0.1017	0.0035	28.81	62.88
1	521	negative regulation of canonical Wnt signaling pathway	2	67	0.0038	0.0019	2.01	0.58
1	521	glycosaminoglycan binding	53	54	0.1017	0.0015	66.15	96.37
1	521	skin development	2	82	0.0038	0.0023	1.64	0.46
1	521	skeletal system development	41	56	0.0787	0.0016	49.35	62.54
1	521	commissural neuron axon guidance	5	129	0.0096	0.0037	2.61	1.36
1	521	positive regulation of kidney smooth muscle cell differentiation	53	54	0.1017	0.0015	66.15	96.37
1	521	negative thymic T cell selection	53	54	0.1017	0.0015	66.15	96.37
1	521	heart development	3	16	0.0058	0.0005	12.64	2.8
1	521	developmental process involved in reproduction	42	60	0.0806	0.0017	47.18	62.67
1	521	cell-cell signaling	460	1430	0.8829	0.0407	21.68	300.0
1	521	regulation of protein localization to nucleus	55	57	0.1056	0.0016	65.04	98.65
1	521	apoptotic signaling pathway	54	164	0.1036	0.0047	22.19	56.64
1	521	lung development	3	21	0.0058	0.0006	9.63	2.45
1	521	heart looping	45	135	0.0864	0.0038	22.47	47.47
1	521	negative regulation of transcription by RNA polymerase II	3	416	0.0058	0.0118	0.49	0.02
1	521	multicellular organism growth	2	17	0.0038	0.0005	7.93	1.59
1	521	smoothened signaling pathway	458	1536	0.8791	0.0437	20.1	300.0
1	521	positive regulation of smoothened signaling pathway	113	196	0.2169	0.0056	38.86	155.92
1	521	regulation of odontogenesis	50	51	0.096	0.0015	66.08	90.77
1	521	gliogenesis	138	585	0.2649	0.0167	15.9	125.67
1	521	animal organ morphogenesis	15	18	0.0288	0.0005	56.17	24.62
1	521	dendrite	2	1498	0.0038	0.0427	0.09	0.0
1	521	patched binding	459	1613	0.881	0.0459	19.18	300.0
1	521	positive regulation of cell differentiation	2	75	0.0038	0.0021	1.8	0.51
1	521	regulation of DNA-templated transcription	2	26	0.0038	0.0007	5.18	1.25
1	521	tube development	121	381	0.2322	0.0108	21.41	126.99
1	521	positive regulation of sclerotome development	55	57	0.1056	0.0016	65.04	98.65
1	521	system development	82	410	0.1574	0.0117	13.48	66.82
1	521	positive regulation of alpha-beta T cell differentiation	95	110	0.1823	0.0031	58.21	159.65
1	521	positive regulation of cell division	55	57	0.1056	0.0016	65.04	98.65
1	521	embryonic morphogenesis	20	23	0.0384	0.0007	58.61	33.5
1	521	branching morphogenesis of an epithelial tube	42	46	0.0806	0.0013	61.54	72.34
1	521	positive regulation of gene expression	66	432	0.1267	0.0123	10.3	45.66
1	521	oligodendrocyte differentiation	175	253	0.3359	0.0072	46.62	267.96
1	521	androgen metabolic process	3	1056	0.0058	0.0301	0.19	0.0
1	521	cholesterol homeostasis	27	1948	0.0518	0.0555	0.93	0.17
1	521	positive regulation of mesenchymal cell proliferation involved in ureter development	53	54	0.1017	0.0015	66.15	96.37
1	521	neuron fate commitment	47	51	0.0902	0.0015	62.12	81.49
1	521	intein-mediated protein splicing	456	1354	0.8752	0.0386	22.7	300.0
1	521	positive regulation of T cell differentiation in thymus	97	112	0.1862	0.0032	58.38	163.35
1	521	metanephric collecting duct development	55	135	0.1056	0.0038	27.46	63.83
1	521	central nervous system development	141	1381	0.2706	0.0393	6.88	76.48
1	521	embryonic organ development	2	66	0.0038	0.0019	2.04	0.59
1	521	protein kinase binding	1	330	0.0019	0.0094	0.2	0.0
1	521	postsynapse	2	1209	0.0038	0.0344	0.11	0.0
1	521	transmembrane transporter activity	1	79	0.0019	0.0022	0.85	0.16
1	521	oxysterol 7-alpha-hydroxylase activity	27	393	0.0518	0.0112	4.63	10.23
1	521	cell fate specification	458	1408	0.8791	0.0401	21.93	300.0
1	521	positive regulation of transcription by RNA polymerase II	5	282	0.0096	0.008	1.2	0.39
1	521	anatomical structure formation involved in morphogenesis	41	44	0.0787	0.0013	62.81	71.56
1	521	pattern specification process	133	453	0.2553	0.0129	19.79	134.98
1	521	chordate embryonic development	39	46	0.0749	0.0013	57.15	64.26
1	521	extracellular matrix	95	179	0.1823	0.0051	35.77	125.57
1	521	protein autoprocessing	459	1424	0.881	0.0406	21.73	300.0
1	521	calcium ion binding	456	1460	0.8752	0.0416	21.05	300.0
1	521	osteoblast differentiation	7	27	0.0134	0.0008	17.47	6.98
1	521	stem cell development	53	54	0.1017	0.0015	66.15	96.37
1	521	metanephric mesenchymal cell proliferation involved in metanephros development	53	54	0.1017	0.0015	66.15	96.37
1	521	self proteolysis	57	78	0.1094	0.0022	49.26	86.98
1	521	positive regulation of immature T cell proliferation in thymus	53	54	0.1017	0.0015	66.15	96.37
1	521	laminin-1 binding	53	54	0.1017	0.0015	66.15	96.37
1	521	cholesterol-protein transferase activity	56	77	0.1075	0.0022	49.02	85.24
1	521	peptidase activity	460	1425	0.8829	0.0406	21.76	300.0
1	521	positive regulation of DNA-templated transcription	55	326	0.1056	0.0093	11.37	40.37
1	521	axon	2	485	0.0038	0.0138	0.28	0.0
