accession	entry_name	protein_names	organism	decision	reason	current_rhea_ids	current_rxn_chebis	current_ligand_chebis
A0A2Y9JI10	A0A2Y9JI10_ENHLU	Non-lysosomal glucosylceramidase (NLGase) (EC 3.2.1.45)	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:142610', 'CHEBI:142611', 'CHEBI:16113']	RHEA:11956;RHEA:13269;RHEA:14297;RHEA:58324;RHEA:58340;RHEA:58344;RHEA:59104;RHEA:59108;RHEA:70235;RHEA:70255;RHEA:RHEA-COMP:19498;RHEA:RHEA-COMP:19502	CHEBI:139140;CHEBI:142610;CHEBI:142611;CHEBI:15377;CHEBI:15378;CHEBI:16113;CHEBI:16188;CHEBI:17495;CHEBI:18390;CHEBI:189066;CHEBI:22801;CHEBI:29744;CHEBI:36234;CHEBI:41128;CHEBI:4139;CHEBI:4167;CHEBI:52639;CHEBI:57525;CHEBI:57683;CHEBI:72956;CHEBI:73432;CHEBI:77996	
A0A2Y9JJB0	A0A2Y9JJB0_ENHLU	Hepatic sodium/bile acid cotransporter (Na(+)/bile acid cotransporter) (Na(+)/taurocholate transport protein) (Sodium/ta	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:132028', 'CHEBI:191405', 'CHEBI:191407']	RHEA:51840;RHEA:71083;RHEA:71875;RHEA:71911;RHEA:71915;RHEA:71923;RHEA:71927;RHEA:71935;RHEA:72087;RHEA:72167;RHEA:72171;RHEA:72179	CHEBI:132028;CHEBI:133064;CHEBI:191405;CHEBI:191406;CHEBI:191407;CHEBI:29101;CHEBI:29746;CHEBI:29747;CHEBI:36257;CHEBI:36261;CHEBI:58874;CHEBI:60050;CHEBI:9407	
A0A2Y9JKL3	A0A2Y9JKL3_ENHLU	Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:137053', 'CHEBI:137057', 'CHEBI:137061']	RHEA:22716;RHEA:46296;RHEA:46300;RHEA:46304;RHEA:46308;RHEA:46380;RHEA:46384;RHEA:46388;RHEA:46392;RHEA:53232;RHEA:53236;RHEA:53240;RHEA:53244;RHEA:53808;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:137053;CHEBI:137057;CHEBI:137061;CHEBI:137687;CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:16113;CHEBI:17026;CHEBI:17252;CHEBI:17347;CHEBI:17500;CHEBI:17737;CHEBI:17759;CHEBI:34310;CHEBI:34477;CHEBI:37640;CHEBI:41633;CHEBI:57618;CHEBI:58210;CHEBI:83027;CHEBI:85778;CHEBI:86013;CHEBI:86074;CHEBI:86087;CHEBI:86165;CHEBI:86570	CHEBI:30413
A0A2Y9JM17	A0A2Y9JM17_ENHLU	Cytosolic beta-glucosidase (EC 3.2.1.21) (EC 3.2.1.45) (EC 3.2.1.46) (Cytosolic galactosylceramidase) (Cytosolic glucosy	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:16113', 'CHEBI:189067']	RHEA:13269;RHEA:14297;RHEA:43908;RHEA:59284;RHEA:59288;RHEA:59292;RHEA:70239	CHEBI:15377;CHEBI:16113;CHEBI:18390;CHEBI:189067;CHEBI:189068;CHEBI:22801;CHEBI:4139;CHEBI:4167;CHEBI:52639;CHEBI:57756;CHEBI:57934;CHEBI:72961;CHEBI:83992;CHEBI:84719;CHEBI:84720	
A0A2Y9JM32	A0A2Y9JM32_ENHLU	Lanosterol 14-alpha demethylase (EC 1.14.14.154) (CYPLI) (Cytochrome P450 51A1) (Cytochrome P450-14DM) (Cytochrome P450L	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:138029', 'CHEBI:138031', 'CHEBI:16521']	RHEA:25286;RHEA:45960;RHEA:54028;RHEA:68060;RHEA:68064;RHEA:68068;RHEA:75079;RHEA:75083;RHEA:75087;RHEA:75103;RHEA:75107;RHEA:75111;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:138029;CHEBI:138031;CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:15740;CHEBI:16521;CHEBI:166681;CHEBI:166806;CHEBI:176901;CHEBI:176902;CHEBI:17813;CHEBI:28113;CHEBI:57618;CHEBI:58210;CHEBI:78904;CHEBI:87057;CHEBI:87060	CHEBI:30413
A0A2Y9JU70	A0A2Y9JU70_ENHLU	O-acyltransferase	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:152049', 'CHEBI:15889', 'CHEBI:16113']	RHEA:17729;RHEA:41436;RHEA:42792;RHEA:42796;RHEA:42812;RHEA:42816;RHEA:59816;RHEA:64320;RHEA:64324;RHEA:64328	CHEBI:152049;CHEBI:152050;CHEBI:15889;CHEBI:16113;CHEBI:17002;CHEBI:232093;CHEBI:3663;CHEBI:41509;CHEBI:46898;CHEBI:57287;CHEBI:57368;CHEBI:57379;CHEBI:57383;CHEBI:57387;CHEBI:57394;CHEBI:58342;CHEBI:61540;CHEBI:75121;CHEBI:82750;CHEBI:82751;CHEBI:83139;CHEBI:84323;CHEBI:88768	
A0A2Y9JV21	A0A2Y9JV21_ENHLU	7-dehydrocholesterol reductase (7-DHC) (EC 1.3.1.21) (Sterol Delta(7)-reductase)	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:16113', 'CHEBI:17737', 'CHEBI:17759']	RHEA:11964;RHEA:15113;RHEA:23984;RHEA:46740	CHEBI:15377;CHEBI:15378;CHEBI:16113;CHEBI:17737;CHEBI:17759;CHEBI:27910;CHEBI:28082;CHEBI:28164;CHEBI:49305;CHEBI:57783;CHEBI:58349	
A0A2Y9JWB6	A0A2Y9JWB6_ENHLU	Multidrug resistance-associated protein 1 (EC 7.6.2.2) (EC 7.6.2.3) (ATP-binding cassette sub-family C member 1) (Glutat	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:82961']	RHEA:33147;RHEA:38951;RHEA:38963;RHEA:60128;RHEA:60160;RHEA:74887;RHEA:81611;RHEA:81695;RHEA:81699	CHEBI:133768;CHEBI:133769;CHEBI:143093;CHEBI:143658;CHEBI:15377;CHEBI:15378;CHEBI:156326;CHEBI:30616;CHEBI:43474;CHEBI:456216;CHEBI:57973;CHEBI:60119;CHEBI:64677;CHEBI:82961	
A0A2Y9JYA6	A0A2Y9JYA6_ENHLU	3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7 (EC 1.1.1.210) (EC 1.1.1.270) (EC 1.1.1.62) (17-beta-hyd	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:16330', 'CHEBI:16469', 'CHEBI:16495']	RHEA:16297;RHEA:18409;RHEA:24616;RHEA:33459;RHEA:34787;RHEA:36379;RHEA:46832;RHEA:46852	CHEBI:136486;CHEBI:15378;CHEBI:16330;CHEBI:16469;CHEBI:16495;CHEBI:16608;CHEBI:17263;CHEBI:18252;CHEBI:18329;CHEBI:18378;CHEBI:1949;CHEBI:36836;CHEBI:47788;CHEBI:52386;CHEBI:57783;CHEBI:58349;CHEBI:87050;CHEBI:87051;CHEBI:87056	
A0A2Y9JYK3	A0A2Y9JYK3_ENHLU	Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase 12) (3-ketoac	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:16469', 'CHEBI:17263']	RHEA:24612;RHEA:24616;RHEA:39151;RHEA:39311;RHEA:39323;RHEA:39459;RHEA:48680	CHEBI:15378;CHEBI:16469;CHEBI:17263;CHEBI:57540;CHEBI:57783;CHEBI:57945;CHEBI:58349;CHEBI:71407;CHEBI:71481;CHEBI:73852;CHEBI:73863;CHEBI:76374;CHEBI:76411;CHEBI:76415;CHEBI:76460;CHEBI:85440;CHEBI:90725	
A0A2Y9JZ86	A0A2Y9JZ86_ENHLU	(3R)-3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.239) (EC 1.1.1.62) (EC 1.1.1.n12) (17-beta-hydroxysteroid dehydrogenase 8	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:15994', 'CHEBI:16330', 'CHEBI:16422']	RHEA:14929;RHEA:24612;RHEA:32711;RHEA:41992	CHEBI:15378;CHEBI:15994;CHEBI:16330;CHEBI:16422;CHEBI:16469;CHEBI:17263;CHEBI:17347;CHEBI:57319;CHEBI:57540;CHEBI:57945;CHEBI:90726	
A0A2Y9JZA3	A0A2Y9JZA3_ENHLU	Steroid 21-hydroxylase (EC 1.14.14.16) (21-OHase) (Cytochrome P-450c21) (Cytochrome P450 21) (Cytochrome P450 XXI) (Cyto	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:16973', 'CHEBI:17026', 'CHEBI:17252']	RHEA:50304;RHEA:50308;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:16973;CHEBI:17026;CHEBI:17252;CHEBI:28324;CHEBI:57618;CHEBI:58210	CHEBI:30413
A0A2Y9K2L4	A0A2Y9K2L4_ENHLU	Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nucleoside diphosphate-linked moiety X motif 7)	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:132020', 'CHEBI:132021', 'CHEBI:57373']	RHEA:49976;RHEA:49980;RHEA:50016;RHEA:50020;RHEA:50024;RHEA:50028;RHEA:50036;RHEA:50040;RHEA:64988;RHEA:64992;RHEA:67464;RHEA:67468;RHEA:67472;RHEA:67592;RHEA:RHEA-COMP:15719;RHEA:RHEA-COMP:17276	CHEBI:132011;CHEBI:132012;CHEBI:132013;CHEBI:132014;CHEBI:132015;CHEBI:132017;CHEBI:132020;CHEBI:132021;CHEBI:144051;CHEBI:15377;CHEBI:15378;CHEBI:156266;CHEBI:172362;CHEBI:172363;CHEBI:172364;CHEBI:172371;CHEBI:57287;CHEBI:57288;CHEBI:57292;CHEBI:57371;CHEBI:57373;CHEBI:57375;CHEBI:57384;CHEBI:57385;CHEBI:57386;CHEBI:57392;CHEBI:58343;CHEBI:61430;CHEBI:61723;CHEBI:62620;CHEBI:63001	
A0A2Y9K2U2	A0A2Y9K2U2_ENHLU	Delta(14)-sterol reductase LBR (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (C-14 sterol reductase) (Integr	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:16608', 'CHEBI:17813', 'CHEBI:18364']	RHEA:18561;RHEA:46456;RHEA:46812	CHEBI:15378;CHEBI:16608;CHEBI:17813;CHEBI:18364;CHEBI:57783;CHEBI:58349;CHEBI:78904;CHEBI:86131;CHEBI:87044	
A0A2Y9K2V9	A0A2Y9K2V9_ENHLU	Cytochrome P450 1A (EC 1.14.14.1)	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:1156', 'CHEBI:16469', 'CHEBI:17263']	RHEA:37947;RHEA:39759;RHEA:39779;RHEA:42088;RHEA:42092;RHEA:47208;RHEA:47212;RHEA:47280;RHEA:47292;RHEA:48632;RHEA:48636;RHEA:48716;RHEA:49860;RHEA:52120;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:1156;CHEBI:131965;CHEBI:136410;CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:16469;CHEBI:17263;CHEBI:17336;CHEBI:17898;CHEBI:28744;CHEBI:32395;CHEBI:35291;CHEBI:57410;CHEBI:57444;CHEBI:57446;CHEBI:57450;CHEBI:57466;CHEBI:57618;CHEBI:58210;CHEBI:58562;CHEBI:62845;CHEBI:65342;CHEBI:75231;CHEBI:76627;CHEBI:76634;CHEBI:77016;CHEBI:87602;CHEBI:90781	CHEBI:30413
A0A2Y9K3H0	A0A2Y9K3H0_ENHLU	Cholesterol side-chain cleavage enzyme, mitochondrial (EC 1.14.15.6) (Cholesterol desmolase)	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:1294', 'CHEBI:16113', 'CHEBI:16581']	RHEA:34335;RHEA:34343;RHEA:35739;RHEA:RHEA-COMP:9998;RHEA:RHEA-COMP:9999	CHEBI:1294;CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:16113;CHEBI:16581;CHEBI:17998;CHEBI:33737;CHEBI:33738;CHEBI:67237	CHEBI:30413
A0A2Y9K3N4	A0A2Y9K3N4_ENHLU	O-acyltransferase	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:152049', 'CHEBI:15889', 'CHEBI:16113']	RHEA:17729;RHEA:41436;RHEA:42792;RHEA:42796;RHEA:42812;RHEA:42816;RHEA:59816;RHEA:64320;RHEA:64324;RHEA:64328	CHEBI:152049;CHEBI:152050;CHEBI:15889;CHEBI:16113;CHEBI:17002;CHEBI:232093;CHEBI:3663;CHEBI:41509;CHEBI:46898;CHEBI:57287;CHEBI:57368;CHEBI:57379;CHEBI:57383;CHEBI:57387;CHEBI:57394;CHEBI:58342;CHEBI:61540;CHEBI:75121;CHEBI:82750;CHEBI:82751;CHEBI:83139;CHEBI:84323;CHEBI:88768	
A0A2Y9K3Q3	A0A2Y9K3Q3_ENHLU	Cytochrome P450 1A (EC 1.14.14.1)	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:1156', 'CHEBI:16469', 'CHEBI:17263']	RHEA:37947;RHEA:39759;RHEA:39779;RHEA:42088;RHEA:42092;RHEA:47208;RHEA:47212;RHEA:47280;RHEA:47292;RHEA:48632;RHEA:48636;RHEA:48716;RHEA:49860;RHEA:52120;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:1156;CHEBI:131965;CHEBI:136410;CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:16469;CHEBI:17263;CHEBI:17336;CHEBI:17898;CHEBI:28744;CHEBI:32395;CHEBI:35291;CHEBI:57410;CHEBI:57444;CHEBI:57446;CHEBI:57450;CHEBI:57466;CHEBI:57618;CHEBI:58210;CHEBI:58562;CHEBI:62845;CHEBI:65342;CHEBI:75231;CHEBI:76627;CHEBI:76634;CHEBI:77016;CHEBI:87602;CHEBI:90781	CHEBI:30413
A0A2Y9K3W9	A0A2Y9K3W9_ENHLU	Cytochrome P450 1A (EC 1.14.14.1)	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:1156', 'CHEBI:16469', 'CHEBI:17263']	RHEA:37947;RHEA:39759;RHEA:39779;RHEA:42088;RHEA:42092;RHEA:47208;RHEA:47212;RHEA:47280;RHEA:47292;RHEA:48632;RHEA:48636;RHEA:48716;RHEA:49860;RHEA:52120;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:1156;CHEBI:131965;CHEBI:136410;CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:16469;CHEBI:17263;CHEBI:17336;CHEBI:17898;CHEBI:28744;CHEBI:32395;CHEBI:35291;CHEBI:57410;CHEBI:57444;CHEBI:57446;CHEBI:57450;CHEBI:57466;CHEBI:57618;CHEBI:58210;CHEBI:58562;CHEBI:62845;CHEBI:65342;CHEBI:75231;CHEBI:76627;CHEBI:76634;CHEBI:77016;CHEBI:87602;CHEBI:90781	CHEBI:30413
A0A2Y9K3Z4	A0A2Y9K3Z4_ENHLU	Steroid 21-hydroxylase (EC 1.14.14.16) (21-OHase) (Cytochrome P-450c21) (Cytochrome P450 21) (Cytochrome P450 XXI) (Cyto	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:16973', 'CHEBI:17026', 'CHEBI:17252']	RHEA:50304;RHEA:50308;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:16973;CHEBI:17026;CHEBI:17252;CHEBI:28324;CHEBI:57618;CHEBI:58210	CHEBI:30413
A0A2Y9K441	A0A2Y9K441_ENHLU	Cytosolic beta-glucosidase (EC 3.2.1.21) (EC 3.2.1.45) (EC 3.2.1.46) (Cytosolic galactosylceramidase) (Cytosolic glucosy	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:16113', 'CHEBI:189067']	RHEA:13269;RHEA:14297;RHEA:43908;RHEA:59284;RHEA:59288;RHEA:59292;RHEA:70239	CHEBI:15377;CHEBI:16113;CHEBI:18390;CHEBI:189067;CHEBI:189068;CHEBI:22801;CHEBI:4139;CHEBI:4167;CHEBI:52639;CHEBI:57756;CHEBI:57934;CHEBI:72961;CHEBI:83992;CHEBI:84719;CHEBI:84720	
A0A2Y9K4B6	A0A2Y9K4B6_ENHLU	3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7 (EC 1.1.1.210) (EC 1.1.1.270) (EC 1.1.1.62) (17-beta-hyd	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:16330', 'CHEBI:16469', 'CHEBI:16495']	RHEA:16297;RHEA:18409;RHEA:24616;RHEA:33459;RHEA:34787;RHEA:36379;RHEA:46832;RHEA:46852	CHEBI:136486;CHEBI:15378;CHEBI:16330;CHEBI:16469;CHEBI:16495;CHEBI:16608;CHEBI:17263;CHEBI:18252;CHEBI:18329;CHEBI:18378;CHEBI:1949;CHEBI:36836;CHEBI:47788;CHEBI:52386;CHEBI:57783;CHEBI:58349;CHEBI:87050;CHEBI:87051;CHEBI:87056	
A0A2Y9K8B0	A0A2Y9K8B0_ENHLU	Cytochrome P450 1A (EC 1.14.14.1)	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:1156', 'CHEBI:16469', 'CHEBI:17263']	RHEA:37947;RHEA:39759;RHEA:39779;RHEA:42088;RHEA:42092;RHEA:47208;RHEA:47212;RHEA:47280;RHEA:47292;RHEA:48632;RHEA:48636;RHEA:48716;RHEA:49860;RHEA:52120;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:1156;CHEBI:131965;CHEBI:136410;CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:16469;CHEBI:17263;CHEBI:17336;CHEBI:17898;CHEBI:28744;CHEBI:32395;CHEBI:35291;CHEBI:57410;CHEBI:57444;CHEBI:57446;CHEBI:57450;CHEBI:57466;CHEBI:57618;CHEBI:58210;CHEBI:58562;CHEBI:62845;CHEBI:65342;CHEBI:75231;CHEBI:76627;CHEBI:76634;CHEBI:77016;CHEBI:87602;CHEBI:90781	CHEBI:30413
A0A2Y9KDM6	A0A2Y9KDM6_ENHLU	Carbonyl reductase (NADPH) (EC 1.1.1.184)	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:139311', 'CHEBI:16827', 'CHEBI:17650']	RHEA:11636;RHEA:15937;RHEA:19257;RHEA:20744;RHEA:24508;RHEA:63476;RHEA:63480;RHEA:63492;RHEA:63500;RHEA:63504;RHEA:70215;RHEA:70219	CHEBI:133409;CHEBI:139311;CHEBI:145544;CHEBI:15378;CHEBI:15734;CHEBI:16827;CHEBI:17087;CHEBI:17478;CHEBI:17650;CHEBI:189050;CHEBI:229723;CHEBI:28869;CHEBI:35681;CHEBI:57397;CHEBI:57400;CHEBI:57401;CHEBI:57404;CHEBI:57406;CHEBI:57408;CHEBI:57783;CHEBI:58349;CHEBI:606564;CHEBI:64677;CHEBI:6746;CHEBI:75296	
A0A2Y9KDN7	A0A2Y9KDN7_ENHLU	Carbonyl reductase (NADPH) (EC 1.1.1.184)	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:139311', 'CHEBI:16827', 'CHEBI:17650']	RHEA:11636;RHEA:15937;RHEA:19257;RHEA:20744;RHEA:24508;RHEA:63476;RHEA:63480;RHEA:63492;RHEA:63500;RHEA:63504;RHEA:70215;RHEA:70219	CHEBI:133409;CHEBI:139311;CHEBI:145544;CHEBI:15378;CHEBI:15734;CHEBI:16827;CHEBI:17087;CHEBI:17478;CHEBI:17650;CHEBI:189050;CHEBI:229723;CHEBI:28869;CHEBI:35681;CHEBI:57397;CHEBI:57400;CHEBI:57401;CHEBI:57404;CHEBI:57406;CHEBI:57408;CHEBI:57783;CHEBI:58349;CHEBI:606564;CHEBI:64677;CHEBI:6746;CHEBI:75296	
A0A2Y9KFX2	A0A2Y9KFX2_ENHLU	Multidrug resistance-associated protein 1 (EC 7.6.2.2) (EC 7.6.2.3) (ATP-binding cassette sub-family C member 1) (Glutat	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:82961']	RHEA:33147;RHEA:38951;RHEA:38963;RHEA:60128;RHEA:60160;RHEA:74887;RHEA:81611;RHEA:81695;RHEA:81699	CHEBI:133768;CHEBI:133769;CHEBI:143093;CHEBI:143658;CHEBI:15377;CHEBI:15378;CHEBI:156326;CHEBI:30616;CHEBI:43474;CHEBI:456216;CHEBI:57973;CHEBI:60119;CHEBI:64677;CHEBI:82961	
A0A2Y9KJV9	A0A2Y9KJV9_ENHLU	Carbonyl reductase (NADPH) (EC 1.1.1.184)	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:139311', 'CHEBI:16827', 'CHEBI:17650']	RHEA:11636;RHEA:15937;RHEA:19257;RHEA:20744;RHEA:24508;RHEA:63476;RHEA:63480;RHEA:63492;RHEA:63500;RHEA:63504;RHEA:70215;RHEA:70219	CHEBI:133409;CHEBI:139311;CHEBI:145544;CHEBI:15378;CHEBI:15734;CHEBI:16827;CHEBI:17087;CHEBI:17478;CHEBI:17650;CHEBI:189050;CHEBI:229723;CHEBI:28869;CHEBI:35681;CHEBI:57397;CHEBI:57400;CHEBI:57401;CHEBI:57404;CHEBI:57406;CHEBI:57408;CHEBI:57783;CHEBI:58349;CHEBI:606564;CHEBI:64677;CHEBI:6746;CHEBI:75296	
A0A2Y9KKV3	A0A2Y9KKV3_ENHLU	Hedgehog protein	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:143135', 'CHEBI:16113']	RHEA:59504;RHEA:RHEA-COMP:12707;RHEA:RHEA-COMP:15369;RHEA:RHEA-COMP:15374	CHEBI:143135;CHEBI:143140;CHEBI:15378;CHEBI:16113;CHEBI:65250	CHEBI:29105;CHEBI:29108
A0A2Y9KQR8	A0A2Y9KQR8_ENHLU	Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G membe	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:57905', 'CHEBI:60050', 'CHEBI:82961']	RHEA:16461;RHEA:38951;RHEA:60128;RHEA:61332;RHEA:61348;RHEA:61352;RHEA:61356;RHEA:61360;RHEA:61364;RHEA:61368;RHEA:61372;RHEA:61376;RHEA:61384;RHEA:82291;RHEA:86403	CHEBI:144581;CHEBI:144582;CHEBI:144583;CHEBI:144584;CHEBI:144643;CHEBI:15377;CHEBI:15378;CHEBI:17240;CHEBI:17775;CHEBI:17781;CHEBI:30616;CHEBI:43474;CHEBI:456216;CHEBI:50681;CHEBI:57905;CHEBI:57986;CHEBI:58687;CHEBI:60050;CHEBI:60119;CHEBI:82961	
A0A2Y9KWE3	A0A2Y9KWE3_ENHLU	Catechol O-methyltransferase (EC 2.1.1.6) (Catechol O-methyltransferase 2)	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:1156', 'CHEBI:1189', 'CHEBI:136972']	RHEA:17877;RHEA:53088;RHEA:53092;RHEA:53096;RHEA:53100;RHEA:53104;RHEA:53108	CHEBI:1156;CHEBI:1189;CHEBI:134251;CHEBI:136972;CHEBI:136975;CHEBI:136980;CHEBI:15378;CHEBI:28744;CHEBI:28955;CHEBI:33566;CHEBI:57856;CHEBI:59789;CHEBI:62845;CHEBI:87602;CHEBI:89268	
A0A2Y9KZY6	A0A2Y9KZY6_ENHLU	Peroxisomal multifunctional enzyme type 2 (17-beta-hydroxysteroid dehydrogenase 4) (D-bifunctional protein) (Multifuncti	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:58507', 'CHEBI:59807', 'CHEBI:59879']	RHEA:18933;RHEA:26526;RHEA:32711;RHEA:39159;RHEA:40187;RHEA:40191;RHEA:40243;RHEA:40255;RHEA:40263;RHEA:45832;RHEA:45992;RHEA:47088	CHEBI:15377;CHEBI:15378;CHEBI:57319;CHEBI:57349;CHEBI:57540;CHEBI:57945;CHEBI:58507;CHEBI:58856;CHEBI:59807;CHEBI:59879;CHEBI:61406;CHEBI:61526;CHEBI:62242;CHEBI:62548;CHEBI:62619;CHEBI:74272;CHEBI:74278;CHEBI:74279;CHEBI:77075;CHEBI:77079;CHEBI:77081;CHEBI:90726	
A0A2Y9L1Y8	A0A2Y9L1Y8_ENHLU	Hedgehog protein	Enhydra lutris kenyoni (northern sea otter)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:143135', 'CHEBI:16113']	RHEA:59504;RHEA:RHEA-COMP:12707;RHEA:RHEA-COMP:15369;RHEA:RHEA-COMP:15374	CHEBI:143135;CHEBI:143140;CHEBI:15378;CHEBI:16113;CHEBI:65250	CHEBI:29105;CHEBI:29108
