accession	entry_name	protein_names	organism	decision	reason	current_rhea_ids	current_rxn_chebis	current_ligand_chebis
A0A7L4IA07	A0A7L4IA07_SCOUM	Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450	Scopus umbretta (Hammerkop)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:137053', 'CHEBI:137057', 'CHEBI:137061']	RHEA:22716;RHEA:46296;RHEA:46300;RHEA:46304;RHEA:46308;RHEA:46380;RHEA:46384;RHEA:46388;RHEA:46392;RHEA:53232;RHEA:53236;RHEA:53240;RHEA:53244;RHEA:53808;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:137053;CHEBI:137057;CHEBI:137061;CHEBI:137687;CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:16113;CHEBI:17026;CHEBI:17252;CHEBI:17347;CHEBI:17500;CHEBI:17737;CHEBI:17759;CHEBI:34310;CHEBI:34477;CHEBI:37640;CHEBI:41633;CHEBI:57618;CHEBI:58210;CHEBI:83027;CHEBI:85778;CHEBI:86013;CHEBI:86074;CHEBI:86087;CHEBI:86165;CHEBI:86570	CHEBI:30413
A0A7L4IA13	A0A7L4IA13_SCOUM	3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7 (EC 1.1.1.210) (EC 1.1.1.270) (EC 1.1.1.62) (17-beta-hyd	Scopus umbretta (Hammerkop)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:16330', 'CHEBI:16469', 'CHEBI:16495']	RHEA:16297;RHEA:18409;RHEA:24616;RHEA:33459;RHEA:34787;RHEA:36379;RHEA:46832;RHEA:46852	CHEBI:136486;CHEBI:15378;CHEBI:16330;CHEBI:16469;CHEBI:16495;CHEBI:16608;CHEBI:17263;CHEBI:18252;CHEBI:18329;CHEBI:18378;CHEBI:1949;CHEBI:36836;CHEBI:47788;CHEBI:52386;CHEBI:57783;CHEBI:58349;CHEBI:87050;CHEBI:87051;CHEBI:87056	
A0A7L4IG13	A0A7L4IG13_9PASS	Bile salt export pump	Pomatorhinus ruficollis (streak-breasted scimitar babbler)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:132028', 'CHEBI:132030', 'CHEBI:29746']	RHEA:50048;RHEA:50052;RHEA:50056;RHEA:50060;RHEA:50064;RHEA:50068;RHEA:50072;RHEA:63908	CHEBI:132028;CHEBI:132030;CHEBI:15377;CHEBI:15378;CHEBI:29746;CHEBI:29747;CHEBI:30616;CHEBI:36252;CHEBI:36257;CHEBI:43474;CHEBI:456216;CHEBI:63660;CHEBI:9407	
A0A7L4IGU7	A0A7L4IGU7_9PASS	Ileal sodium/bile acid cotransporter (Apical sodium-dependent bile acid transporter) (Ileal Na(+)/bile acid cotransporte	Pomatorhinus ruficollis (streak-breasted scimitar babbler)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:132028', 'CHEBI:191405', 'CHEBI:29746']	RHEA:51840;RHEA:71875;RHEA:71911;RHEA:71915;RHEA:71923;RHEA:71927;RHEA:71935;RHEA:72087;RHEA:72179	CHEBI:132028;CHEBI:133064;CHEBI:191405;CHEBI:191406;CHEBI:29101;CHEBI:29746;CHEBI:29747;CHEBI:36257;CHEBI:36261;CHEBI:9407	
A0A7L4IIM5	A0A7L4IIM5_9PASS	Cholesterol 24-hydroxylase (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450	Pomatorhinus ruficollis (streak-breasted scimitar babbler)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:137053', 'CHEBI:137057', 'CHEBI:137061']	RHEA:22716;RHEA:46296;RHEA:46300;RHEA:46304;RHEA:46308;RHEA:46380;RHEA:46384;RHEA:46388;RHEA:46392;RHEA:53232;RHEA:53236;RHEA:53240;RHEA:53244;RHEA:53808;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:137053;CHEBI:137057;CHEBI:137061;CHEBI:137687;CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:16113;CHEBI:17026;CHEBI:17252;CHEBI:17347;CHEBI:17500;CHEBI:17737;CHEBI:17759;CHEBI:34310;CHEBI:34477;CHEBI:37640;CHEBI:41633;CHEBI:57618;CHEBI:58210;CHEBI:83027;CHEBI:85778;CHEBI:86013;CHEBI:86074;CHEBI:86087;CHEBI:86165;CHEBI:86570	CHEBI:30413
A0A7L4IK71	A0A7L4IK71_9PASS	Lanosterol 14-alpha demethylase (EC 1.14.14.154)	Pomatorhinus ruficollis (streak-breasted scimitar babbler)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:138029', 'CHEBI:138031', 'CHEBI:16521']	RHEA:25286;RHEA:45960;RHEA:54028;RHEA:68060;RHEA:68064;RHEA:68068;RHEA:75079;RHEA:75083;RHEA:75087;RHEA:75103;RHEA:75107;RHEA:75111;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:138029;CHEBI:138031;CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:15740;CHEBI:16521;CHEBI:166681;CHEBI:166806;CHEBI:176901;CHEBI:176902;CHEBI:17813;CHEBI:28113;CHEBI:57618;CHEBI:58210;CHEBI:78904;CHEBI:87057;CHEBI:87060	CHEBI:30413
A0A7L4IML6	A0A7L4IML6_9PASS	Multidrug resistance-associated protein 1 (EC 7.6.2.2) (EC 7.6.2.3) (ATP-binding cassette sub-family C member 1) (Glutat	Pomatorhinus ruficollis (streak-breasted scimitar babbler)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:82961']	RHEA:38951;RHEA:38963;RHEA:60128;RHEA:74887	CHEBI:143093;CHEBI:15377;CHEBI:15378;CHEBI:30616;CHEBI:43474;CHEBI:456216;CHEBI:57973;CHEBI:60119;CHEBI:82961	
A0A7L4ITC9	A0A7L4ITC9_9PASS	Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.3.1.176) (Acetyl-CoA C-myristoyltransferase) (Non-specific l	Pomatorhinus ruficollis (streak-breasted scimitar babbler)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:17759', 'CHEBI:57373', 'CHEBI:58507']	RHEA:16865;RHEA:18161;RHEA:21564;RHEA:31087;RHEA:31091;RHEA:31111;RHEA:31183;RHEA:31203;RHEA:35279;RHEA:40343;RHEA:46344;RHEA:47400;RHEA:62960	CHEBI:17759;CHEBI:57287;CHEBI:57288;CHEBI:57349;CHEBI:57371;CHEBI:57373;CHEBI:57375;CHEBI:57379;CHEBI:57385;CHEBI:57386;CHEBI:57392;CHEBI:58342;CHEBI:58507;CHEBI:61430;CHEBI:62418;CHEBI:62543;CHEBI:62548;CHEBI:62615;CHEBI:62619;CHEBI:62620;CHEBI:71407;CHEBI:77081;CHEBI:77084;CHEBI:86042;CHEBI:87695;CHEBI:87698;CHEBI:90726	
A0A7L4IUV6	A0A7L4IUV6_9PASS	Multidrug resistance-associated protein 4 (EC 7.6.2.2) (EC 7.6.2.3)	Pomatorhinus ruficollis (streak-breasted scimitar babbler)	DROP_STALE	current Rhea reactions/ligands do not contain any sterane-passing ChEBI (has 6 rxn ChEBIs, 0 ligand ChEBIs, none pass)	RHEA:66424	CHEBI:15377;CHEBI:15378;CHEBI:30616;CHEBI:43474;CHEBI:456216;CHEBI:57461	
A0A7L4J003	A0A7L4J003_9PASS	Cholesteryl ester transfer protein	Pomatorhinus ruficollis (streak-breasted scimitar babbler)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:41509', 'CHEBI:46898']	RHEA:43348;RHEA:43352;RHEA:43356	CHEBI:41509;CHEBI:46898;CHEBI:53753	
